lon,lat,ROUTE_NUMBER,DIRECTION,BUS_STOP_ORDER_NUM,BUS_STOP_NUM_1,Current_Stop,BUS_STOP_SUB_NUM_2,BUS_STOP_NUM_2,Next_Stop,PLANNED_ROAD,REAL_ROAD,DELAY,VEHICLE_NUMBER,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.31889,48.97783,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2347,-50,362,1611928757947,29,14,59,17
21.31907,48.97783,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,-49,362,1611928772946,29,14,59,32
21.31931,48.9778,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-47,362,1611929852972,29,15,17,32
21.31903,48.97777,46,T,4,68,Pri zámočku,0,72,Záhradky,2360,20,-59,362,1611929867977,29,15,17,47
21.31926,48.97781,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,123,366,1611932223045,29,15,57,3
21.31936,48.97782,46,P,10,68,Pri zámočku,1,69,Na Záhumní,370,14,111,366,1611932238040,29,15,57,18
21.31928,48.97782,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-2,366,1611933423042,29,16,17,3
21.31895,48.97782,46,T,4,68,Pri zámočku,0,72,Záhradky,2360,41,-11,366,1611933438043,29,16,17,18
21.31912,48.97778,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,14,408,1611935913102,29,16,58,33
21.3191,48.97779,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,6,408,1611935928106,29,16,58,48
21.31932,48.9778,46,P,10,68,Pri zámočku,1,69,Na Záhumní,370,14,-10,408,1611935943112,29,16,59,3
21.31922,48.97782,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-89,408,1611937098122,29,17,18,18
21.31897,48.97781,46,T,4,68,Pri zámočku,0,72,Záhradky,2360,20,-101,408,1611937113119,29,17,18,33
21.31929,48.97781,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-175,385,1611904783546,29,8,19,43
21.3193,48.97781,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-183,385,1611904798547,29,8,19,58
21.31919,48.9778,46,T,4,68,Pri zámočku,0,72,Záhradky,2360,10,-196,385,1611904813562,29,8,20,13
21.31903,48.9778,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2368,16,408,1611907094525,29,8,58,14
21.31911,48.9778,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,14,408,1611907109547,29,8,58,29
21.3192,48.97781,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-77,408,1611908279918,29,9,17,59
21.31919,48.97781,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-82,408,1611908294930,29,9,18,14
21.31891,48.9778,46,T,4,68,Pri zámočku,0,72,Záhradky,2360,20,-93,408,1611908309918,29,9,18,29
21.31891,48.97778,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2264,-92,386,1611914402283,29,11,0,2
21.31915,48.97777,46,P,9,72,Záhradky,1,68,Pri zámočku,2400,2400,-83,386,1611914417284,29,11,0,17
21.3192,48.97781,46,T,3,69,Na Záhumní,0,68,Pri zámočku,361,361,-95,386,1611915512504,29,11,18,32
21.31878,48.9778,46,T,4,68,Pri zámočku,0,72,Záhradky,2360,41,-106,386,1611915527498,29,11,18,47
21.24113,48.99208,29,P,9,531,Okružná,1,114,Grešova,500,150,-67,397,1613039529384,11,11,32,9
21.24143,48.99206,23,P,2,2,Na Hlavnej,1,531,Okružná,800,597,-2,404,1613039619386,11,11,33,39
21.2412,48.99203,29,P,9,531,Okružná,1,114,Grešova,500,159,-63,397,1613043129483,11,12,32,9
21.24108,48.99215,29,P,9,531,Okružná,1,114,Grešova,500,145,-91,397,1613046744589,11,13,32,24
21.24106,48.99231,23,P,2,2,Na Hlavnej,1,531,Okružná,800,625,-21,404,1613046849595,11,13,34,9
21.24103,48.99242,32,P,1,531,Okružná,1,532,Floriánova,400,327,1,344,1613049174632,11,14,12,54
21.24109,48.99223,29,P,9,531,Okružná,1,114,Grešova,500,145,-62,397,1613050314659,11,14,31,54
21.24138,48.99198,29,P,9,531,Okružná,1,114,Grešova,500,181,-68,397,1613050329676,11,14,32,9
